POLICY: FIRST FIT	MEMORY SIZE: 512


NUMBER 	SEQUENCE 	SIZE 	ADR 	MEMORY LEFT 	LARGEST CHUNK
1 	alloc 		99744 	-1 		0 		0
2 	alloc 		111776 	-1 		0 		0
3 	alloc 		64864 	-1 		0 		0
4 	alloc 		91552 	-1 		0 		0
5 	free 		111776 	-1 		524288 		0
6 	free 		91552 	-1 		524288 		0
7 	alloc 		5600 	-1 		0 		0
8 	alloc 		110304 	-1 		0 		0
9 	alloc 		78688 	-1 		0 		0
10 	alloc 		8032 	-1 		0 		0
11 	alloc 		27872 	-1 		0 		0
12 	alloc 		72992 	-1 		0 		0
13 	alloc 		4960 	-1 		0 		0
14 	alloc 		58400 	-1 		0 		0
15 	alloc 		84640 	-1 		0 		0
16 	free 		78688 	-1 		524288 		0
17 	alloc 		25760 	-1 		0 		0
18 	free 		5600 	-1 		524288 		0
19 	free 		64864 	-1 		524288 		0
20 	alloc 		6496 	-1 		0 		0
21 	alloc 		118240 	-1 		0 		0
22 	free 		27872 	-1 		524288 		0
23 	alloc 		44448 	-1 		0 		0
24 	free 		8032 	-1 		524288 		0
25 	alloc 		113440 	-1 		0 		0
26 	free 		99744 	-1 		524288 		0
27 	free 		118240 	-1 		524288 		0
28 	free 		6496 	-1 		524288 		0
29 	free 		84640 	-1 		524288 		0
30 	alloc 		115040 	-1 		0 		0
31 	free 		25760 	-1 		524288 		0
32 	alloc 		55072 	-1 		0 		0
33 	free 		4960 	-1 		524288 		0
34 	free 		44448 	-1 		524288 		0
35 	free 		55072 	-1 		524288 		0
36 	alloc 		57312 	-1 		0 		0
37 	alloc 		101408 	-1 		0 		0
38 	free 		110304 	-1 		524288 		0
39 	free 		72992 	-1 		524288 		0
40 	free 		58400 	-1 		524288 		0
41 	alloc 		71328 	-1 		0 		0
42 	alloc 		26144 	-1 		0 		0
43 	alloc 		55968 	-1 		0 		0
44 	alloc 		17824 	-1 		0 		0
45 	free 		26144 	-1 		524288 		0
46 	free 		57312 	-1 		524288 		0
47 	alloc 		49120 	-1 		0 		0
48 	free 		71328 	-1 		524288 		0
49 	alloc 		87200 	-1 		0 		0
50 	alloc 		16928 	-1 		0 		0
51 	alloc 		10848 	-1 		0 		0
52 	free 		16928 	-1 		524288 		0
