POLICY: BEST FIT	MEMORY SIZE: 1024


NUMBER 	SEQUENCE 	SIZE 	ADR 	MEMORY LEFT 	LARGEST CHUNK
1 	alloc 		99744 	0 		948832 		0
2 	alloc 		111776 	99744 		837056 		0
3 	alloc 		64864 	211520 		772192 		0
4 	alloc 		91552 	276384 		680640 		0
5 	free 		111776 	0 		792416 		0
6 	free 		91552 	0 		883968 		0
7 	alloc 		5600 	0 		878368 		0
8 	alloc 		110304 	5600 		768064 		0
9 	alloc 		78688 	115904 		689376 		0
10 	alloc 		8032 	194592 		681344 		0
11 	alloc 		27872 	202624 		653472 		0
12 	alloc 		72992 	230496 		580480 		0
13 	alloc 		4960 	303488 		575520 		0
14 	alloc 		58400 	308448 		517120 		0
15 	alloc 		84640 	366848 		432480 		0
16 	free 		78688 	0 		511168 		0
17 	alloc 		25760 	0 		485408 		0
18 	free 		5600 	0 		491008 		5600
19 	free 		64864 	0 		555872 		5600
20 	alloc 		6496 	0 		549376 		5600
21 	alloc 		118240 	6496 		431136 		5600
22 	free 		27872 	0 		459008 		5600
23 	alloc 		44448 	0 		414560 		5600
24 	free 		8032 	0 		422592 		5600
25 	alloc 		113440 	0 		309152 		5600
26 	free 		99744 	0 		408896 		99744
27 	free 		118240 	0 		527136 		99744
28 	free 		6496 	0 		533632 		99744
29 	free 		84640 	0 		618272 		99744
30 	alloc 		115040 	0 		503232 		99744
31 	free 		25760 	0 		528992 		99744
32 	alloc 		55072 	0 		473920 		99744
33 	free 		4960 	0 		478880 		99744
34 	free 		44448 	0 		523328 		99744
35 	free 		55072 	0 		578400 		99744
36 	alloc 		57312 	0 		521088 		99744
37 	alloc 		101408 	57312 		419680 		99744
38 	free 		110304 	0 		529984 		99744
39 	free 		72992 	0 		602976 		99744
40 	free 		58400 	0 		661376 		99744
41 	alloc 		71328 	0 		590048 		99744
42 	alloc 		26144 	71328 		563904 		99744
43 	alloc 		55968 	97472 		507936 		99744
44 	alloc 		17824 	153440 		490112 		99744
45 	free 		26144 	0 		516256 		99744
46 	free 		57312 	0 		573568 		99744
47 	alloc 		49120 	0 		524448 		99744
48 	free 		71328 	0 		595776 		99744
49 	alloc 		87200 	0 		508576 		99744
50 	alloc 		16928 	87200 		491648 		99744
51 	alloc 		10848 	104128 		480800 		99744
52 	free 		16928 	0 		497728 		99744
53 	free 		87200 	0 		584928 		99744
54 	alloc 		110112 	0 		474816 		99744
55 	free 		113440 	0 		588256 		113440
56 	alloc 		36640 	0 		551616 		113440
57 	free 		110112 	0 		661728 		113440
58 	alloc 		90592 	0 		571136 		113440
59 	alloc 		32 	90592 		571104 		113440
60 	free 		115040 	0 		686144 		115040
61 	alloc 		57312 	0 		628832 		115040
62 	alloc 		113952 	0 		514880 		115040
63 	free 		101408 	0 		616288 		115040
64 	alloc 		88160 	0 		528128 		115040
65 	free 		55968 	0 		584096 		115040
66 	free 		10848 	0 		594944 		115040
67 	alloc 		35424 	0 		559520 		115040
68 	alloc 		7584 	35424 		551936 		115040
69 	free 		49120 	0 		601056 		115040
70 	free 		7584 	0 		608640 		115040
71 	alloc 		60960 	0 		547680 		115040
72 	alloc 		36704 	60960 		510976 		115040
73 	free 		90592 	0 		601568 		115040
74 	free 		17824 	0 		619392 		115040
75 	alloc 		44512 	0 		574880 		115040
76 	alloc 		34656 	44512 		540224 		115040
77 	free 		32 	0 		540256 		115040
78 	alloc 		85024 	0 		455232 		115040
79 	free 		36640 	0 		491872 		115040
80 	alloc 		42080 	0 		449792 		115040
81 	alloc 		39520 	42080 		410272 		115040
82 	alloc 		79840 	81600 		330432 		115040
83 	free 		42080 	0 		372512 		115040
84 	free 		57312 	0 		429824 		115040
85 	alloc 		79840 	0 		349984 		115040
86 	alloc 		110816 	79840 		239168 		115040
87 	alloc 		61664 	190656 		177504 		115040
88 	alloc 		51808 	252320 		125696 		115040
89 	alloc 		53152 	304128 		72544 		115040
90 	free 		35424 	0 		107968 		115040
91 	free 		113952 	0 		221920 		115040
92 	free 		85024 	0 		306944 		115040
93 	free 		88160 	0 		395104 		115040
94 	free 		44512 	0 		439616 		115040
95 	free 		36704 	0 		476320 		115040
96 	free 		34656 	0 		510976 		115040
97 	free 		39520 	0 		550496 		115040
98 	alloc 		40736 	0 		509760 		115040
99 	alloc 		108192 	40736 		401568 		115040
100 	free 		60960 	0 		462528 		115040
101 	free 		79840 	0 		542368 		115040
102 	alloc 		43552 	0 		498816 		115040
103 	alloc 		95840 	43552 		402976 		115040
104 	free 		40736 	0 		443712 		115040
