POLICY: BEST FIT	MEMORY SIZE: 512


NUMBER 	SEQUENCE 	SIZE 	ADR 	MEMORY LEFT 	LARGEST CHUNK
1 	alloc 		99744 	0 		424544 		0
2 	alloc 		111776 	99744 		312768 		0
3 	alloc 		64864 	211520 		247904 		0
4 	alloc 		91552 	276384 		156352 		0
5 	free 		111776 	0 		268128 		0
6 	free 		91552 	0 		359680 		0
7 	alloc 		5600 	0 		354080 		0
8 	alloc 		110304 	5600 		243776 		0
9 	alloc 		78688 	115904 		165088 		0
10 	alloc 		8032 	194592 		157056 		0
11 	alloc 		27872 	202624 		129184 		0
12 	alloc 		72992 	230496 		56192 		0
13 	alloc 		4960 	303488 		51232 		0
14 	alloc 		58400 	308448 		-7168 		0
15 	alloc 		84640 	366848 		-91808 		0
16 	free 		78688 	0 		-13120 		0
17 	alloc 		25760 	0 		-38880 		0
18 	free 		5600 	0 		-33280 		5600
19 	free 		64864 	0 		31584 		5600
20 	alloc 		6496 	0 		25088 		5600
21 	alloc 		118240 	6496 		-93152 		5600
22 	free 		27872 	0 		-65280 		5600
23 	alloc 		44448 	0 		-109728 		5600
24 	free 		8032 	0 		-101696 		5600
25 	alloc 		113440 	0 		-215136 		5600
26 	free 		99744 	0 		-115392 		99744
27 	free 		118240 	0 		2848 		99744
28 	free 		6496 	0 		9344 		99744
29 	free 		84640 	0 		93984 		99744
30 	alloc 		115040 	0 		-21056 		99744
31 	free 		25760 	0 		4704 		99744
32 	alloc 		55072 	0 		-50368 		99744
33 	free 		4960 	0 		-45408 		99744
34 	free 		44448 	0 		-960 		99744
35 	free 		55072 	0 		54112 		99744
36 	alloc 		57312 	0 		-3200 		99744
37 	alloc 		101408 	57312 		-104608 		99744
38 	free 		110304 	0 		5696 		99744
39 	free 		72992 	0 		78688 		99744
40 	free 		58400 	0 		137088 		99744
41 	alloc 		71328 	0 		65760 		99744
42 	alloc 		26144 	71328 		39616 		99744
43 	alloc 		55968 	97472 		-16352 		99744
44 	alloc 		17824 	153440 		-34176 		99744
45 	free 		26144 	0 		-8032 		99744
46 	free 		57312 	0 		49280 		99744
47 	alloc 		49120 	0 		160 		99744
48 	free 		71328 	0 		71488 		99744
49 	alloc 		87200 	0 		-15712 		99744
50 	alloc 		16928 	87200 		-32640 		99744
51 	alloc 		10848 	104128 		-43488 		99744
52 	free 		16928 	0 		-26560 		99744
53 	free 		87200 	0 		60640 		99744
54 	alloc 		110112 	0 		-49472 		99744
55 	free 		113440 	0 		63968 		113440
56 	alloc 		36640 	0 		27328 		113440
57 	free 		110112 	0 		137440 		113440
58 	alloc 		90592 	0 		46848 		113440
59 	alloc 		32 	90592 		46816 		113440
60 	free 		115040 	0 		161856 		115040
61 	alloc 		57312 	0 		104544 		115040
62 	alloc 		113952 	0 		-9408 		115040
63 	free 		101408 	0 		92000 		115040
64 	alloc 		88160 	0 		3840 		115040
65 	free 		55968 	0 		59808 		115040
66 	free 		10848 	0 		70656 		115040
67 	alloc 		35424 	0 		35232 		115040
68 	alloc 		7584 	35424 		27648 		115040
69 	free 		49120 	0 		76768 		115040
70 	free 		7584 	0 		84352 		115040
71 	alloc 		60960 	0 		23392 		115040
72 	alloc 		36704 	60960 		-13312 		115040
73 	free 		90592 	0 		77280 		115040
74 	free 		17824 	0 		95104 		115040
75 	alloc 		44512 	0 		50592 		115040
76 	alloc 		34656 	44512 		15936 		115040
