	MANAGEMENT = Buddy System		SIZE: 1024 KB

Failed Req 85 is size 79840
 131		  free		 63648		     0		 65536		 65536
 132		 alloc		 94432		    -1		     0		 65536
 133		  free		 82272		     0		196608		131072
 134		  free		 94752		     0		327680		131072
 135		  free		 91680		     0		458752		262144
 136		 alloc		 44192		655360		393216		262144
 137		  free		 94432		    -1		     0		     0
 138		 alloc		 93856		393216		262144		262144
 139		 alloc		124064		     0		131072		131072
 140		  free		 44192		     0		196608		131072
 141		  free		 44832		     0		262144		131072
 142		  free		 80224		     0		393216		131072
 143		 alloc		 24288		131072		360448		131072
 144		  free		 96480		     0		491520		262144
 145		  free		124064		     0		622592		262144
 146		  free		113376		     0		753664		262144
 147		 alloc		 84000		     0		622592		262144
 148		 alloc		 62688		196608		557056		262144
 149		  free		 84000		     0		688128		262144
 150		  free		124832		     0		819200		524288
 151		 alloc		123104		     0		688128		524288
 152		 alloc		 84384		262144		557056		524288
 153		 alloc		 67936		524288		425984		262144
 154		 alloc		 67872		655360		294912		262144
 155		  free		 62688		     0		360448		262144
 156		  free		 45664		    -1		     0		     0
 157		 alloc		 91104		786432		229376		131072
 158		 alloc		 21280		163840		196608		131072
 159		 alloc		  8480		196608		180224		131072
 160		  free		 93856		     0		311296		131072
 161		 alloc		 27872		229376		278528		131072
 162		 alloc		 30304		393216		245760		131072
 163		 alloc		 44256		458752		180224		131072
 164		  free		 21280		     0		212992		131072
 165		 alloc		 93408		917504		 81920		 32768
 166		 alloc		 46368		    -1		     0		 32768
 167		 alloc		 47584		    -1		     0		 32768
 168		  free		 91104		     0		212992		131072
 169		  free		 44256		     0		278528		131072
 170		  free		123104		     0		409600		131072
 171		  free		 24288		     0		442368		131072
 172		 alloc		122528		     0		311296		131072
 173		 alloc		 56800		131072		245760		131072
 174		  free		 67936		     0		376832		131072
 175		  free		 67872		     0		507904		262144
 176		 alloc		 69984		786432		376832		262144
 177		  free		 84384		     0		507904		262144
 178		 alloc		 92448		262144		376832		262144
 179		 alloc		 18400		425984		344064		262144
 180		  free		 27872		     0		376832		262144
 181		  free		  8480		     0		393216		262144
 182		  free		122528		     0		524288		262144
 183		  free		 30304		     0		557056		262144
 184		 alloc		 74080		     0		425984		262144
 185		 alloc		114656		524288		294912		131072
 186		 alloc		 93216		655360		163840		 65536
 187		 alloc		103776		    -1		     0		 65536
 188		 alloc		  3936		393216		159744		 65536
